"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"2358",934975,43.61,"blok mieszkalny","Stare Miasto",500,2,"bardzo dobry"
"2359",780000,69.1,"blok mieszkalny","Nowy Dwór",450,3,"wysoki standard"
"2360",599000,46.4,"kamienica","Stare Miasto",650,2,"dobry"
"2361",753600,48.9,"blok mieszkalny","Klecina",500,2,"do wykończenia"
"2362",930000,66.37,"blok mieszkalny","Psie Pole",390,3,"wysoki standard"
"2363",735000,54.1,"blok mieszkalny","Sołtysowice",520,3,"bardzo dobry"
"2364",840000,46,"apartamentowiec","Stare Miasto",650,2,"wysoki standard"
"2365",1238875,91.32,"blok mieszkalny","Partynice",990,5,"do wykończenia"
"2366",1278000,82.27,"blok mieszkalny","Kleczków",830,4,"do wykończenia"
"2367",689000,48.85,"blok mieszkalny","Krzyki",480,2,"do wykończenia"
"2368",939000,68.6,"blok mieszkalny","Borek",500,2,"dobry"
"2369",1023662,80.17,"blok mieszkalny","Poświętne",550,4,"do wykończenia"
"2370",856813,64.3,"blok mieszkalny","Księże",640,3,"do wykończenia"
"2371",1179000,75,"apartamentowiec","Stare Miasto",850,4,"bardzo dobry"
"2372",492100,35.63,"blok mieszkalny","Krzyki",420,2,"do wykończenia"
"2373",869000,50.2,"kamienica","Przedmieście Świdnickie",600,3,"nowe wykończone"
"2374",525000,41.2,"blok mieszkalny","Huby",430,2,"dobry"
"2375",592800,42.8,"blok mieszkalny","Księże",420,2,"do wykończenia"
"2376",515000,39.2,"apartamentowiec","Księże",500,2,"do wykończenia"
"2377",469000,35.22,"blok mieszkalny","Jagodno",230,2,"do wykończenia"
"2378",780000,61,"blok mieszkalny","Partynice",950,3,"bardzo dobry"
"2379",797554,70.58,"apartamentowiec","Księże",800,4,"do wykończenia"
"2380",959175,65.09,"blok mieszkalny","Kleczków",600,3,"do wykończenia"
"2381",849000,84.52,"kamienica","Nadodrze",1400,3,"dobry"
"2382",390000,32.5,"blok mieszkalny","Brochów",270,2,"deweloperski"
"2383",499000,36,"blok mieszkalny","Przedmieście Świdnickie",600,2,"do odświeżenia"
"2384",1338000,81.92,"blok mieszkalny","Kleczków",830,4,"do wykończenia"
"2385",719000,52.22,"kamienica","Stare Miasto",600,2,"bardzo dobry"
"2386",538508,44.36,"apartamentowiec","Księże",550,2,"do wykończenia"
"2387",549000,42.3,"apartamentowiec","Wojszyce",600,2,"wysoki standard"
"2388",835000,61.3,"blok mieszkalny","Gaj",1100,3,"wysoki standard"
"2389",639000,60.69,"kamienica","Ołbin",560,2,"bardzo dobry"
"2390",990100,53.43,"blok mieszkalny","Stare Miasto",600,3,"do wykończenia"
"2391",768850,49.57,"blok mieszkalny","Klecina",350,2,"do wykończenia"
"2392",699000,63,"blok mieszkalny","Huby",1050,3,"do odświeżenia"
"2393",874398,80.22,"blok mieszkalny","Żerniki",900,3,"do wykończenia"
"2394",419159,25.42,"blok mieszkalny","Kleczków",450,1,"do wykończenia"
"2395",599000,38.7,"blok mieszkalny","Jagodno",450,2,"wysoki standard"
"2396",869160,72.61,"blok mieszkalny","Krzyki",400,4,"deweloperski"
"2397",689000,59.25,"blok mieszkalny","Muchobór Wielki",730,3,"dobry"
"2398",676368,55.44,"apartamentowiec","Księże",400,3,"do wykończenia"
"2399",2883980,131.09,"apartamentowiec","Stare Miasto",1500,4,"wysoki standard"
"2400",860000,84,"apartamentowiec","Klecina",659,3,"do odświeżenia"
"2401",509103,27.66,"apartamentowiec","Stare Miasto",350,1,"do wykończenia"
"2402",1019375,65.2,"blok mieszkalny","Partynice",700,4,"do wykończenia"
"2403",711000,55.32,"blok mieszkalny","Poświętne",500,3,"do wykończenia"
"2404",779000,46.7,"blok mieszkalny","Krzyki",600,2,"bardzo dobry"
"2405",1054863,63.7,"blok mieszkalny","Kleczków",700,3,"do wykończenia"
"2406",619999,47.71,"blok mieszkalny","Oporów",470,2,"do odświeżenia"
"2407",1199000,70.8,"apartamentowiec","Partynice",600,3,"bardzo dobry"
"2408",734454,62.8,"blok mieszkalny","Oporów",600,3,"do wykończenia"
"2409",846000,56.4,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"2410",299000,17,"blok mieszkalny","Borek",320,1,"bardzo dobry"
"2411",635500,31.88,"blok mieszkalny","Stare Miasto",500,2,"bardzo dobry"
"2412",497420,26.6,"blok mieszkalny","Stare Miasto",300,2,"do wykończenia"
"2413",834560,75.38,"blok mieszkalny","Poświętne",540,3,"do wykończenia"
"2414",849000,68.25,"blok mieszkalny","Partynice",1100,3,"wysoki standard"
"2415",926900,71.3,"apartamentowiec","Ołbin",800,4,"do wykończenia"
"2416",1700000,76.96,"apartamentowiec","Nadodrze",800,3,"wysoki standard"
"2417",497000,27,"apartamentowiec","Stare Miasto",350,1,"bardzo dobry"
"2418",614000,48.76,"blok mieszkalny","Sołtysowice",520,3,"do wykończenia"
"2419",625900,51,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"2420",869000,62.8,"blok mieszkalny","Oporów",650,3,"do wykończenia"
"2421",563000,44.15,"kamienica","Ołbin",370,2,"bardzo dobry"
"2422",640000,53.27,"blok mieszkalny","Krzyki",645,2,"bardzo dobry"
"2423",1095000,105.9,"blok mieszkalny","Gądów",1400,4,"bardzo dobry"
"2424",675000,45.45,"blok mieszkalny","Muchobór Wielki",680,2,"dobry"
"2425",799000,52.52,"kamienica","Ołbin",400,2,"dobry"
"2426",468000,36,"blok mieszkalny","Zawidawie",350,2,"bardzo dobry"
"2427",735800,54,"blok mieszkalny","Gaj",680,3,"bardzo dobry"
"2428",592700,60.18,"blok mieszkalny","Lipa Piotrowska",700,3,"do wykończenia"
"2429",599000,57.08,"kamienica","Przedmieście Oławskie",260,2,"dobry"
"2430",470000,48,"blok mieszkalny","Grabiszyn",600,2,"do remontu"
"2431",671662,48.02,"blok mieszkalny","Poświętne",550,2,"do wykończenia"
"2432",627000,54,"blok mieszkalny","Różanka",847,3,"dobry"
"2433",599193,60.16,"blok mieszkalny","Osobowice",800,3,"wysoki standard"
"2434",746600,50.7,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"2435",612929,60.15,"blok mieszkalny","Lipa Piotrowska",800,3,"do wykończenia"
"2436",564000,38,"kamienica","Ołbin",165,2,"bardzo dobry"
"2437",631000,54,"blok mieszkalny","Gaj",590,2,"bardzo dobry"
"2438",498000,42,"kamienica","Nowy Dwór",250,2,"dobry"
"2439",619000,66,"kamienica","Grabiszyn",530,2,"dobry"
"2440",712553,63.4,"apartamentowiec","Oporów",650,4,"do wykończenia"
"2441",555000,36,"blok mieszkalny","Powstańców Śląskich",600,2,"do odświeżenia"
"2442",999000,50,"apartamentowiec","Stare Miasto",550,2,"-"
"2443",549500,40,"kamienica","Przedmieście Oławskie",300,2,"bardzo dobry"
"2444",610490,41,"blok mieszkalny","Krzyki",500,2,"nowe wykończone"
"2445",639000,55,"kamienica","Ołbin",158,2,"wysoki standard"
"2446",680000,80,"kamienica","Psie Pole",578,4,"do remontu"
"2447",532224,41.1,"blok mieszkalny","Księże",404,2,"do wykończenia"
"2448",259000,17.1,"blok mieszkalny","Gaj",460,1,"dobry"
"2449",550000,53.21,"apartamentowiec","Klecina",760,2,"do odświeżenia"
"2450",599000,34.05,"blok mieszkalny","Grabiszyn",450,2,"deweloperski"
"2451",1100000,67,"blok mieszkalny","Swojczyce",870,4,"do wykończenia"
"2452",759999,65.03,"blok mieszkalny","Jagodno",1100,3,"wysoki standard"
"2453",625500,50.04,"apartamentowiec","Księże",650,2,"deweloperski"
"2454",899000,64,"apartamentowiec","Kleczków",680,3,"-"
"2455",671800,38.55,"blok mieszkalny","Krzyki",450,2,"do wykończenia"
"2456",1061866,91.32,"apartamentowiec","Krzyki",910,5,"do wykończenia"
"2457",844000,40.13,"blok mieszkalny","Kleczków",600,2,"bardzo dobry"
"2458",639000,53.7,"blok mieszkalny","Gaj",560,2,"nowe wykończone"
"2459",529000,26.7,"blok mieszkalny","Grabiszyn",440,2,"bardzo dobry"
"2460",1490000,115,"blok mieszkalny","Stare Miasto",680,5,"wysoki standard"
"2461",591129,38.51,"apartamentowiec","Krzyki",700,2,"nowe wykończone"
"2462",1845685,91.68,"blok mieszkalny","Stare Miasto",600,4,"bardzo dobry"
"2463",926900,71.3,"blok mieszkalny","Ołbin",800,4,"do wykończenia"
"2464",537921,45.8,"blok mieszkalny","Księże",400,2,"do wykończenia"
"2465",768915,73.23,"blok mieszkalny","Księże",650,3,"do wykończenia"
"2466",499000,33.07,"blok mieszkalny","Sołtysowice",450,2,"do wykończenia"
"2467",770000,53.74,"blok mieszkalny","Maślice",700,3,"dobry"
"2468",665000,54.16,"blok mieszkalny","Muchobór Wielki",500,2,"bardzo dobry"
"2469",827798,85.34,"blok mieszkalny","Psie Pole",800,5,"do wykończenia"
"2470",1387550,91.33,"blok mieszkalny","Klecina",1100,5,"do wykończenia"
"2471",624000,52.08,"blok mieszkalny","Krzyki",600,2,"dobry"
